station;latitude;longitude
Университет дружбы народов;55.6479373;37.5071425
Новаторская;55.6715909;37.5213807
Аэропорт;55.79981;37.53412
Академическая;55.68808;37.57501
Алексеевская;55.80737;37.63844
Александровский сад;55.75219;37.60836
Алтуфьево;55.89504;37.58605
Аннино;55.581818;37.594978
Арбатская;55.75228;37.60357
Авиамоторная;55.75208;37.71677
Автозаводская;55.70801;37.65858
Бабушкинская;55.86814;37.66292
Багратионовская;55.74326;37.49753
Баррикадная;55.76027;37.58111
Бауманская;55.77228;37.67857
Беговая;55.77378;37.54412
Белорусская;55.77492;37.58207
Беляево;55.64371;37.52762
Бибирево;55.88294;37.60523
Библиотека и Ленина;55.75211;37.60988
Битцевский парк;55.60029;37.55735
Боровицкая;55.75034;37.60857
Ботанический сад;55.84649;37.63914
Братеево;55.631363;37.75174
Братиславская;55.66126;37.7509
Чеховская;55.76596;37.6075
Черкизовская;55.802;37.74438
Чертаново;55.63978;37.60893
Чистые пруды;55.76426;37.6389
Чкаловская;55.756218;37.659375
Динамо;55.78867;37.55936
Бульвар Дмитрия Донского;55.567759;37.575724
Дмитровская;55.80756;37.57959
Добрынинская;55.72886;37.62356
Домодедовская;55.61009;37.71612
Достоевская;55.782438;37.612747
Дубровка;55.719732;37.676915
Электрозаводская;55.78177;37.70471
Шоссе энтузиастов;55.75837;37.75155
Филевский парк;55.73953;37.48366
Фили;55.74673;37.51384
Фрунзенская;55.72718;37.58036
Измайловская;55.78768;37.78329
Улица Академика Янгеля;55.596141;37.59981
Каховская;55.65332;37.59722
Калужская;55.65566;37.53923
Кантемировская;55.6343;37.65632
Каширская;55.65412;37.64738
Киевская;55.74388;37.56673
Китай-город;55.75634;37.63002
Коломенское;55.67745;37.66298
Комсомольская;55.77717;37.655689
Коньково;55.63253;37.52005
Кожуховская;55.70533;37.68508
Красногвардейская;55.614491;37.744724
Краснопресненская;55.760109;37.577141
Красносельская;55.780763;37.666264
Красные ворота;55.76958;37.6499
Крестьянская застава;55.732877;37.668998
Кропоткинская;55.74525;37.60463
Крылатское;55.75879;37.40633
Кунцевская;55.73045;37.44646
Курская;55.75848;37.65985
Кутузовская;55.73947;37.53433
Кузьминки;55.70531;37.76775
Кузнецкий мост;55.76118;37.62386
Ленинский проспект;55.70818;37.58742
Лубянка;55.75876;37.62573
Люблино;55.67694;37.76316
Марьина роща;55.793602;37.615762
Марьино;55.65193;37.74771
Марксистская;55.7407;37.65773
Маяковская;55.76909;37.59635
Медведково;55.88594;37.6612
Менделеевская;55.78251;37.59792
Минская;55.731548;37.491016
Проспект мира;55.781196;37.633529
Митино;55.84589;37.35909
Молодёжная;55.74001;37.41724
Нагатинская;55.68386;37.62285
Нагорная;55.67283;37.61019
Нахимовский проспект;55.66376;37.60767
Новые черемушки;55.66892;37.55417
Новогиреево;55.75111;37.81564
Новокосино;55.740539;37.856347
Новокузнецкая;55.74212;37.62901
Новослободская;55.77921;37.6009
Охотный ряд;55.75703;37.61614
Октябрьское поле;55.793615;37.493496
Октябрьская;55.729;37.61139
Орехово;55.61214;37.69584
Отрадное;55.86417;37.60488
Парк Культуры;55.73512;37.59328
Парк Победы;55.736559;37.512591
Партизанская;55.78962;37.7479
Павелецкая;55.7313;37.63612
Печатники;55.69252;37.7295
Перово;55.75109;37.78854
Первомайская;55.79342;37.79979
Петровско-Разумовская;55.83712;37.57349
Пионерская;55.73583;37.46731
Планерная;55.85931;37.43687
Площадь Ильича;55.745663;37.681123
Улица Подбельского;55.81503;37.73209
Улица Подбельского;55.81336;37.73524
Полежаевская;55.77691;37.51692
Полянка;55.73654;37.61856
Пражская;55.61354;37.60499
Преображенская площадь;55.79655;37.71591
Профсоюзная;55.67822;37.56381
Пролетарская;55.73171;37.66726
Пронская;55.698344;37.850869
Пушкинская;55.76565;37.60417
Речной вокзал;55.85378;37.47679
Площадь Революции;55.75646;37.62321
Рижская;55.79222;37.63557
Римская;55.746487;37.682631
Рязанский проспект;55.71753;37.79425
Cавеловская;55.79421;37.58666
Щелковская;55.80955;37.79884
Щукинская;55.80796;37.46629
Cеменовская;55.78279;37.71844
Cерпуховская;55.72658;37.62462
Cевастопольская;55.65121;37.59939
Шаболовская;55.71886;37.60797
Cходненская;55.84937;37.43951
Cлавянский бульвар;55.729508;37.468829
Cмоленская;55.74823;37.58384
Cокол;55.80518;37.51495
Cокольники;55.78893;37.67943
Спортивная;55.72397;37.56547
Cретенский бульвар;55.765551;37.635261
Cтрогино;55.80435;37.396363
Cтуденческая;55.73873;37.54825
Cухаревская;55.77211;37.63239
Площадь Cуворова;55.781984;37.614487
Cвиблово;55.85543;37.65419
Таганская;55.74255;37.65389
Театральная;55.75857;37.6177
Текстильшики;55.70947;37.73282
Теплый стан;55.61814;37.50814
Тимирязевская;55.81842;37.57571
Третьяковская;55.74061;37.62492
Трубная;55.767605;37.6221
Царицыно;55.62011;37.66939
Цветной бульвар;55.7716;37.62058
Тульская;55.70901;37.6226
Тургеневская;55.7646;37.63623
Тушинская;55.8258;37.43621
Тверская;55.7652;37.60352
Улица 1905 года;55.76355;37.56375
Университет;55.69167;37.53433
Варшавская;55.65381;37.62084
ВДНХ;55.82177;37.64107
Проспект Вернадского;55.67613;37.5045
Владыкино;55.84669;37.59251
Водный стадион;55.8386;37.48749
Войковская;55.81811;37.49905
Волоколамская;55.83459;37.38367
Волгоградский проспект;55.7243;37.68795
Волжская;55.69101;37.75498
Воробьёвы горы;55.710454;37.558601
Выхино;55.715;37.81802
Ясенево;55.60535;37.53494
Юго-западная;55.66464;37.48421
Южная;55.62122;37.60752
Ростокино;55.84103;37.6698992
